Shipment Date,CountryName,Product,BDS$_Value,,,,,,,
11-Jun-13,United States,SAILS,"$6,250.00",,,,,,,
11-Jun-13,United States,SAILS,"$30,627.46",,,,,,,
11-Jun-13,United States,SAILS,"$2,416.70",,,,,,,
11-Jun-13,United States,SAILS,"$1,482.40",,,,,,,
11-Jun-13,United States,SWEETENED BISCUITS,"$44,887.04",,,,,,,
11-Jun-13,United States,BEER,"$40,748.40",,,,,,,
11-Jun-13,Canada,RUM,"$2,458.00",,,,,,,
12-Jun-13,United States,RESISTORS,"$178,032.90",,,,,,,
12-Jun-13,United States,RUM,"$197,818.06",,,,,,,
12-Jun-13,United States,RUM,"$59,602.40",,,,,,,
12-Jun-13,Canada,RUM,"$240,239.40",,,,,,,
12-Jun-13,Canada,CUT FLOWERS,$600.00,,,,,,,
12-Jun-13,Canada,CUT FLOWERS,$550.00,,,,,,,
13-Jun-13,United States,SWEETENED BISCUITS,"$38,267.20",,,,,,,
17-Jun-13,United States,RUM,"$198,756.00",,,,,,,
17-Jun-13,Canada,CUT FLOWERS,$620.00,,,,,,,
17-Jun-13,Canada,SYRUPS,"$43,851.00",,,,,,,
17-Jun-13,Canada,CUT FLOWERS,$625.00,,,,,,,
19-Jun-13,United States,RUM,"$60,227.26",,,,,,,
19-Jun-13,United States,RUM,"$60,377.80",,,,,,,
19-Jun-13,United States,RUM,"$59,779.12",,,,,,,
19-Jun-13,United States,LABELS,"$4,867.30",,,,,,,
19-Jun-13,United States,RUM,"$59,607.90",,,,,,,
19-Jun-13,Canada,RUM,"$123,731.16",,,,,,,
19-Jun-13,Canada,MARGARINE,"$4,892.50",,,,,,,
19-Jun-13,Canada,SEASONINGS,"$16,594.00",,,,,,,
20-Jun-13,United States,SAILS,$801.50,,,,,,,
20-Jun-13,United States,SAILS,"$2,145.90",,,,,,,
20-Jun-13,United States,SAILS,"$6,190.00",,,,,,,
20-Jun-13,United States,SAILS,"$15,592.26",,,,,,,
20-Jun-13,United States,RESISTORS,"$240,934.00",,,,,,,
20-Jun-13,United States,TORTUGA RUM CAKES,"$135,980.80",,,,,,,
